event_id,organization_id,user_id,feature_category,event_type,event_date,event_timestamp
EVT-0007965,ORG-0082,USR-00806,headlines,headline_created,2023-10-13,2023-10-13 12:43:49
EVT-0012780,ORG-0150,USR-01449,headlines,headline_created,2023-10-05,2023-10-05 16:29:02
EVT-0011119,ORG-0122,USR-01198,issues,issue_resolved,2024-12-13,2024-12-13 17:16:22
EVT-0007387,ORG-0077,USR-00745,scorecards,scorecard_updated,2024-03-01,2024-03-01 16:17:07
EVT-0002037,ORG-0024,USR-00265,scorecards,scorecard_score_entered,2024-05-23,2024-05-23 08:11:35
EVT-0015750,ORG-0194,USR-01889,meetings,meeting_created,2023-12-19,2023-12-19 10:14:19
EVT-0003263,ORG-0033,USR-00387,issues,issue_resolved,2023-06-27,2023-06-27 01:23:50
EVT-0009985,ORG-0104,USR-01025,rocks,rock_created,2025-11-22,2025-11-22 23:26:15
EVT-0002621,ORG-0028,USR-00308,rocks,rock_created,2026-01-23,2026-01-23 05:53:22
EVT-0011247,ORG-0127,USR-01215,todos,todo_completed,2025-04-26,2025-04-26 21:31:56
EVT-0007766,ORG-0081,USR-00801,scorecards,scorecard_score_entered,2025-01-17,2025-01-17 11:52:57
EVT-0010536,ORG-0114,USR-01107,scorecards,scorecard_updated,2026-02-24,2026-02-24 10:26:15
EVT-0012475,ORG-0144,USR-01369,meetings,meeting_completed,2024-11-30,2024-11-30 11:19:32
EVT-0001670,ORG-0020,USR-00194,meetings,meeting_created,2023-09-07,2023-09-07 00:25:25
EVT-0012266,ORG-0142,USR-01357,headlines,headline_created,2025-01-11,2025-01-11 09:33:59
EVT-0011003,ORG-0120,USR-01171,meetings,meeting_completed,2025-07-13,2025-07-13 17:10:58
EVT-0008163,ORG-0086,USR-00819,todos,todo_completed,2024-11-04,2024-11-04 11:00:34
EVT-0005029,ORG-0050,USR-00547,meetings,meeting_completed,2025-08-26,2025-08-26 17:49:36
EVT-0000611,ORG-0005,USR-00052,meetings,meeting_completed,2025-03-23,2025-03-23 14:56:01
EVT-0002110,ORG-0024,USR-00278,meetings,meeting_created,2024-11-06,2024-11-06 00:51:47
EVT-0008730,ORG-0092,USR-00871,issues,issue_created,2025-12-18,2025-12-18 08:12:07
EVT-0007810,ORG-0081,USR-00781,scorecards,scorecard_updated,2025-04-10,2025-04-10 11:54:36
EVT-0000941,ORG-0009,USR-00097,issues,issue_resolved,2025-09-20,2025-09-20 15:23:56
EVT-0014429,ORG-0174,USR-01690,scorecards,scorecard_updated,2025-12-07,2025-12-07 15:14:03
EVT-0000908,ORG-0008,USR-00085,issues,issue_resolved,2025-12-14,2025-12-14 11:14:39
EVT-0002696,ORG-0029,USR-00326,rocks,rock_completed,2024-01-19,2024-01-19 16:30:18
EVT-0011677,ORG-0138,USR-01319,rocks,rock_completed,2023-09-09,2023-09-09 19:56:55
EVT-0015981,ORG-0196,USR-01897,meetings,meeting_created,2024-02-02,2024-02-02 13:37:22
EVT-0010987,ORG-0119,USR-01162,issues,issue_created,2025-10-30,2025-10-30 04:53:12
EVT-0014989,ORG-0181,USR-01759,issues,issue_created,2025-09-12,2025-09-12 17:21:07
EVT-0008623,ORG-0092,USR-00876,issues,issue_created,2024-11-04,2024-11-04 15:14:26
EVT-0014205,ORG-0169,USR-01640,scorecards,scorecard_score_entered,2025-12-26,2025-12-26 07:13:47
EVT-0009193,ORG-0096,USR-00930,headlines,headline_created,2025-05-19,2025-05-19 00:15:55
EVT-0011083,ORG-0121,USR-01196,headlines,headline_created,2025-10-25,2025-10-25 15:17:33
EVT-0012156,ORG-0142,USR-01352,todos,todo_completed,2023-10-13,2023-10-13 11:32:03
EVT-0010129,ORG-0109,USR-01066,scorecards,scorecard_updated,2025-08-17,2025-08-17 09:46:12
EVT-0004255,ORG-0041,USR-00467,meetings,meeting_completed,2025-10-13,2025-10-13 13:29:30
EVT-0006608,ORG-0066,USR-00672,rocks,rock_created,2026-01-20,2026-01-20 17:28:42
EVT-0000068,ORG-0001,USR-00001,headlines,headline_created,2025-11-23,2025-11-23 06:46:53
EVT-0013635,ORG-0163,USR-01556,meetings,meeting_completed,2023-06-12,2023-06-12 17:57:23
EVT-0003265,ORG-0033,USR-00382,meetings,meeting_completed,2023-06-30,2023-06-30 12:32:42
EVT-0000913,ORG-0008,USR-00089,scorecards,scorecard_score_entered,2026-01-22,2026-01-22 09:54:05
EVT-0001528,ORG-0017,USR-00180,todos,todo_completed,2024-09-12,2024-09-12 09:32:22
EVT-0002210,ORG-0024,USR-00262,headlines,headline_created,2025-08-12,2025-08-12 10:14:41
EVT-0002176,ORG-0024,USR-00278,todos,todo_created,2025-05-07,2025-05-07 14:25:08
EVT-0000152,ORG-0002,USR-00031,headlines,headline_created,2024-01-18,2024-01-18 13:47:49
EVT-0013547,ORG-0159,USR-01536,scorecards,scorecard_updated,2025-12-08,2025-12-08 09:08:59
EVT-0002605,ORG-0028,USR-00302,rocks,rock_updated,2025-10-24,2025-10-24 12:24:20
EVT-0010908,ORG-0118,USR-01158,headlines,headline_created,2024-05-21,2024-05-21 10:30:20
EVT-0003142,ORG-0031,USR-00355,todos,todo_completed,2025-04-23,2025-04-23 12:55:51
EVT-0014263,ORG-0171,USR-01655,rocks,rock_created,2023-10-24,2023-10-24 14:46:14
EVT-0011876,ORG-0138,USR-01320,meetings,meeting_created,2025-11-27,2025-11-27 17:18:20
EVT-0002643,ORG-0029,USR-00316,rocks,rock_created,2023-07-14,2023-07-14 17:33:56
EVT-0016050,ORG-0196,USR-01898,rocks,rock_updated,2026-01-18,2026-01-18 12:46:45
EVT-0009497,ORG-0101,USR-00974,issues,issue_created,2024-05-02,2024-05-02 09:55:41
EVT-0011116,ORG-0122,USR-01197,issues,issue_resolved,2024-11-09,2024-11-09 19:20:47
EVT-0011105,ORG-0122,USR-01198,issues,issue_created,2024-08-14,2024-08-14 05:59:49
EVT-0011834,ORG-0138,USR-01328,issues,issue_resolved,2025-05-28,2025-05-28 10:42:40
EVT-0016403,ORG-0199,USR-01955,headlines,headline_created,2025-06-11,2025-06-11 11:43:09
EVT-0000493,ORG-0005,USR-00048,headlines,headline_created,2023-10-17,2023-10-17 16:35:53
EVT-0000180,ORG-0002,USR-00026,headlines,headline_created,2024-05-11,2024-05-11 14:24:09
EVT-0005783,ORG-0059,USR-00619,rocks,rock_updated,2025-02-17,2025-02-17 16:46:18
EVT-0002092,ORG-0024,USR-00258,headlines,headline_created,2024-10-25,2024-10-25 00:48:49
EVT-0002565,ORG-0028,USR-00308,todos,todo_created,2025-03-02,2025-03-02 12:12:57
EVT-0015223,ORG-0186,USR-01816,rocks,rock_updated,2025-05-29,2025-05-29 10:26:42
EVT-0015108,ORG-0183,USR-01800,headlines,headline_created,2025-03-18,2025-03-18 17:47:09
EVT-0007189,ORG-0073,USR-00735,rocks,rock_completed,2025-11-10,2025-11-10 09:12:05
EVT-0016387,ORG-0199,USR-01960,scorecards,scorecard_updated,2025-02-06,2025-02-06 11:30:28
EVT-0001284,ORG-0013,USR-00148,rocks,rock_created,2025-01-15,2025-01-15 14:11:07
EVT-0009584,ORG-0101,USR-00980,meetings,meeting_created,2025-05-30,2025-05-30 16:41:09
EVT-0015145,ORG-0184,USR-01804,headlines,headline_created,2024-12-04,2024-12-04 15:56:44
EVT-0012766,ORG-0149,USR-01442,rocks,rock_completed,2026-02-25,2026-02-25 12:53:54
EVT-0011719,ORG-0138,USR-01325,rocks,rock_completed,2024-03-10,2024-03-10 11:25:30
EVT-0008891,ORG-0094,USR-00900,issues,issue_resolved,2024-03-21,2024-03-21 10:58:20
EVT-0001389,ORG-0014,USR-00162,todos,todo_completed,2026-02-05,2026-02-05 11:57:35
EVT-0007225,ORG-0075,USR-00738,scorecards,scorecard_score_entered,2023-12-04,2023-12-04 16:26:28
EVT-0003324,ORG-0033,USR-00381,meetings,meeting_created,2023-09-27,2023-09-27 21:17:22
EVT-0004763,ORG-0046,USR-00514,headlines,headline_created,2025-03-13,2025-03-13 11:31:31
EVT-0008462,ORG-0091,USR-00857,issues,issue_created,2025-06-25,2025-06-25 16:19:54
EVT-0002489,ORG-0027,USR-00293,headlines,headline_created,2025-09-03,2025-09-03 08:37:03
EVT-0015292,ORG-0188,USR-01821,headlines,headline_created,2023-11-21,2023-11-21 12:09:24
EVT-0007518,ORG-0078,USR-00749,todos,todo_completed,2025-03-14,2025-03-14 11:18:41
EVT-0009382,ORG-0098,USR-00961,scorecards,scorecard_updated,2025-07-27,2025-07-27 12:03:36
EVT-0009643,ORG-0101,USR-00997,headlines,headline_created,2025-12-13,2025-12-13 14:44:54
EVT-0006421,ORG-0064,USR-00663,rocks,rock_completed,2025-05-18,2025-05-18 11:43:18
EVT-0012597,ORG-0146,USR-01372,issues,issue_resolved,2025-11-11,2025-11-11 14:41:00
EVT-0011766,ORG-0138,USR-01325,rocks,rock_updated,2024-09-15,2024-09-15 20:36:38
EVT-0002823,ORG-0029,USR-00328,todos,todo_created,2025-03-21,2025-03-21 10:33:20
EVT-0001781,ORG-0023,USR-00255,meetings,meeting_created,2025-05-20,2025-05-20 13:11:13
EVT-0000805,ORG-0008,USR-00081,issues,issue_resolved,2024-10-31,2024-10-31 16:31:29
EVT-0005432,ORG-0053,USR-00577,rocks,rock_completed,2025-09-09,2025-09-09 00:00:35
EVT-0011051,ORG-0121,USR-01196,rocks,rock_updated,2024-11-05,2024-11-05 16:03:09
EVT-0008211,ORG-0087,USR-00821,meetings,meeting_completed,2025-10-13,2025-10-13 15:41:42
EVT-0003414,ORG-0033,USR-00385,issues,issue_resolved,2023-12-05,2023-12-05 23:36:36
EVT-0005919,ORG-0062,USR-00632,todos,todo_created,2023-07-10,2023-07-10 15:27:24
EVT-0003238,ORG-0033,USR-00379,scorecards,scorecard_updated,2023-05-19,2023-05-19 13:26:12
EVT-0001724,ORG-0021,USR-00215,rocks,rock_updated,2025-11-04,2025-11-04 13:36:00
EVT-0007477,ORG-0078,USR-00747,todos,todo_completed,2024-03-30,2024-03-30 09:15:14
EVT-0013318,ORG-0158,USR-01512,todos,todo_created,2025-03-10,2025-03-10 13:31:22
EVT-0003441,ORG-0033,USR-00382,rocks,rock_completed,2024-01-30,2024-01-30 02:16:59
EVT-0002179,ORG-0024,USR-00275,headlines,headline_created,2025-05-18,2025-05-18 10:16:30
EVT-0008911,ORG-0094,USR-00898,scorecards,scorecard_updated,2024-06-17,2024-06-17 15:45:39
EVT-0005847,ORG-0060,USR-00624,meetings,meeting_completed,2025-11-01,2025-11-01 16:02:15
EVT-0016308,ORG-0198,USR-01930,scorecards,scorecard_updated,2025-11-20,2025-11-20 23:44:08
EVT-0013832,ORG-0164,USR-01577,scorecards,scorecard_score_entered,2025-02-02,2025-02-02 14:50:07
EVT-0016233,ORG-0198,USR-01940,headlines,headline_created,2025-01-25,2025-01-25 13:34:20
EVT-0004289,ORG-0042,USR-00469,todos,todo_created,2024-04-25,2024-04-25 11:10:44
EVT-0015468,ORG-0190,USR-01836,todos,todo_created,2025-05-25,2025-05-25 19:10:16
EVT-0011526,ORG-0136,USR-01283,issues,issue_resolved,2024-07-27,2024-07-27 13:18:58
EVT-0010969,ORG-0119,USR-01163,issues,issue_created,2025-07-27,2025-07-27 15:33:37
EVT-0006744,ORG-0069,USR-00681,headlines,headline_created,2026-02-22,2026-02-22 10:18:39
EVT-0001533,ORG-0017,USR-00181,rocks,rock_completed,2024-10-31,2024-10-31 12:34:55
EVT-0007071,ORG-0071,USR-00722,rocks,rock_completed,2025-10-23,2025-10-23 13:03:08
EVT-0009330,ORG-0098,USR-00963,headlines,headline_created,2024-03-02,2024-03-02 13:30:28
EVT-0005001,ORG-0049,USR-00529,rocks,rock_updated,2026-01-01,2026-01-01 09:01:02
EVT-0009796,ORG-0104,USR-01028,issues,issue_resolved,2024-03-30,2024-03-30 10:26:04
EVT-0008617,ORG-0092,USR-00876,issues,issue_created,2024-10-06,2024-10-06 17:39:38
EVT-0002719,ORG-0029,USR-00314,rocks,rock_updated,2024-03-01,2024-03-01 21:55:43
EVT-0016341,ORG-0199,USR-01964,meetings,meeting_completed,2024-06-17,2024-06-17 17:02:48
EVT-0001325,ORG-0013,USR-00146,meetings,meeting_completed,2025-09-06,2025-09-06 15:46:26
EVT-0004562,ORG-0043,USR-00493,todos,todo_completed,2025-11-08,2025-11-08 11:32:17
EVT-0003571,ORG-0033,USR-00375,issues,issue_resolved,2024-09-17,2024-09-17 15:55:53
EVT-0005649,ORG-0056,USR-00598,meetings,meeting_completed,2025-08-22,2025-08-22 15:28:55
EVT-0008808,ORG-0093,USR-00885,scorecards,scorecard_updated,2025-08-08,2025-08-08 12:49:46
EVT-0005684,ORG-0057,USR-00604,scorecards,scorecard_updated,2024-10-13,2024-10-13 17:22:29
EVT-0001649,ORG-0019,USR-00187,rocks,rock_created,2025-12-31,2025-12-31 22:48:52
EVT-0001638,ORG-0019,USR-00188,issues,issue_resolved,2025-10-30,2025-10-30 11:50:07
EVT-0013053,ORG-0155,USR-01482,headlines,headline_created,2025-02-15,2025-02-15 14:38:55
EVT-0005089,ORG-0051,USR-00560,scorecards,scorecard_updated,2024-05-16,2024-05-16 10:27:32
EVT-0009294,ORG-0097,USR-00951,rocks,rock_updated,2026-02-16,2026-02-16 15:26:45
EVT-0006881,ORG-0070,USR-00703,scorecards,scorecard_score_entered,2025-04-13,2025-04-13 23:43:05
EVT-0007494,ORG-0078,USR-00748,rocks,rock_updated,2024-08-29,2024-08-29 16:29:28
EVT-0015079,ORG-0182,USR-01790,issues,issue_created,2025-10-17,2025-10-17 15:21:19
EVT-0009884,ORG-0104,USR-01030,headlines,headline_created,2024-12-20,2024-12-20 14:20:34
EVT-0013577,ORG-0160,USR-01540,meetings,meeting_created,2025-02-06,2025-02-06 16:43:13
EVT-0015773,ORG-0194,USR-01879,meetings,meeting_completed,2024-05-13,2024-05-13 10:14:12
EVT-0003287,ORG-0033,USR-00391,scorecards,scorecard_updated,2023-08-19,2023-08-19 12:29:12
EVT-0004833,ORG-0047,USR-00520,meetings,meeting_completed,2025-09-19,2025-09-19 20:27:41
EVT-0013473,ORG-0159,USR-01535,todos,todo_completed,2024-12-06,2024-12-06 16:51:30
EVT-0007634,ORG-0081,USR-00793,issues,issue_created,2024-03-21,2024-03-21 13:28:56
EVT-0010521,ORG-0114,USR-01105,scorecards,scorecard_updated,2026-01-19,2026-01-19 17:06:08
EVT-0012163,ORG-0142,USR-01359,issues,issue_resolved,2023-11-26,2023-11-26 09:06:48
EVT-0003684,ORG-0033,USR-00384,rocks,rock_created,2025-05-13,2025-05-13 09:55:23
EVT-0006033,ORG-0062,USR-00643,scorecards,scorecard_score_entered,2024-03-20,2024-03-20 12:37:00
EVT-0005914,ORG-0062,USR-00649,todos,todo_completed,2023-07-17,2023-07-17 12:07:28
EVT-0006622,ORG-0067,USR-00674,issues,issue_created,2025-02-23,2025-02-23 09:13:41
EVT-0005339,ORG-0053,USR-00581,rocks,rock_updated,2024-10-22,2024-10-22 10:50:56
EVT-0001586,ORG-0018,USR-00184,meetings,meeting_created,2024-10-15,2024-10-15 03:53:26
EVT-0008210,ORG-0087,USR-00824,todos,todo_completed,2025-09-12,2025-09-12 09:59:44
EVT-0009849,ORG-0104,USR-01034,scorecards,scorecard_score_entered,2024-08-26,2024-08-26 14:38:02
EVT-0012125,ORG-0142,USR-01352,issues,issue_created,2023-05-07,2023-05-07 11:28:50
EVT-0000379,ORG-0004,USR-00041,scorecards,scorecard_score_entered,2023-12-02,2023-12-02 13:59:01
EVT-0001792,ORG-0023,USR-00253,issues,issue_created,2025-06-02,2025-06-02 17:54:36
EVT-0004836,ORG-0047,USR-00517,meetings,meeting_completed,2025-10-24,2025-10-24 11:19:40
EVT-0006545,ORG-0066,USR-00672,headlines,headline_created,2024-06-19,2024-06-19 11:49:36
EVT-0003166,ORG-0031,USR-00353,rocks,rock_created,2025-08-19,2025-08-19 13:37:21
EVT-0000025,ORG-0001,USR-00014,rocks,rock_created,2024-08-21,2024-08-21 11:06:22
EVT-0003742,ORG-0033,USR-00392,meetings,meeting_created,2025-10-30,2025-10-30 08:03:31
EVT-0011300,ORG-0129,USR-01218,scorecards,scorecard_score_entered,2025-04-05,2025-04-05 00:42:22
EVT-0012632,ORG-0147,USR-01404,scorecards,scorecard_updated,2025-08-11,2025-08-11 14:05:39
EVT-0009303,ORG-0098,USR-00961,scorecards,scorecard_score_entered,2023-09-07,2023-09-07 09:18:42
EVT-0008109,ORG-0085,USR-00818,meetings,meeting_completed,2025-05-26,2025-05-26 13:43:03
EVT-0012972,ORG-0152,USR-01459,issues,issue_resolved,2025-06-26,2025-06-26 17:29:58
EVT-0008389,ORG-0091,USR-00855,issues,issue_resolved,2024-10-25,2024-10-25 02:52:05
EVT-0005226,ORG-0053,USR-00563,scorecards,scorecard_score_entered,2023-09-17,2023-09-17 11:37:05
EVT-0013329,ORG-0158,USR-01520,todos,todo_completed,2025-04-01,2025-04-01 15:28:15
EVT-0013037,ORG-0155,USR-01486,todos,todo_completed,2025-01-12,2025-01-12 10:36:00
EVT-0009939,ORG-0104,USR-01015,rocks,rock_updated,2025-06-03,2025-06-03 19:32:19
EVT-0015066,ORG-0182,USR-01791,headlines,headline_created,2025-05-24,2025-05-24 13:52:32
EVT-0008893,ORG-0094,USR-00899,headlines,headline_created,2024-03-04,2024-03-04 16:32:27
EVT-0013797,ORG-0163,USR-01563,meetings,meeting_completed,2025-11-18,2025-11-18 09:37:12
EVT-0006424,ORG-0064,USR-00663,headlines,headline_created,2025-06-04,2025-06-04 11:52:01
EVT-0009266,ORG-0097,USR-00945,meetings,meeting_completed,2025-10-08,2025-10-08 05:15:45
EVT-0002284,ORG-0024,USR-00268,todos,todo_created,2026-02-09,2026-02-09 11:00:25
EVT-0011665,ORG-0138,USR-01310,rocks,rock_completed,2023-07-24,2023-07-24 11:02:53
EVT-0009625,ORG-0101,USR-00977,meetings,meeting_created,2025-10-22,2025-10-22 15:12:01
EVT-0000857,ORG-0008,USR-00091,issues,issue_created,2025-05-08,2025-05-08 11:45:00
EVT-0008667,ORG-0092,USR-00866,issues,issue_resolved,2025-04-05,2025-04-05 22:34:42
EVT-0011211,ORG-0126,USR-01211,rocks,rock_created,2026-01-07,2026-01-07 09:39:30
EVT-0008336,ORG-0090,USR-00835,rocks,rock_updated,2025-04-23,2025-04-23 13:14:35
EVT-0003653,ORG-0033,USR-00388,scorecards,scorecard_updated,2025-03-12,2025-03-12 16:24:56
EVT-0002504,ORG-0027,USR-00293,meetings,meeting_created,2026-01-28,2026-01-28 11:28:41
EVT-0012730,ORG-0149,USR-01443,meetings,meeting_completed,2024-12-20,2024-12-20 08:19:14
EVT-0009200,ORG-0096,USR-00924,issues,issue_resolved,2025-07-10,2025-07-10 13:23:28
EVT-0008766,ORG-0093,USR-00878,scorecards,scorecard_updated,2025-03-31,2025-03-31 14:26:09
EVT-0006046,ORG-0062,USR-00633,meetings,meeting_completed,2024-04-03,2024-04-03 03:10:15
EVT-0013164,ORG-0155,USR-01471,todos,todo_completed,2025-12-16,2025-12-16 21:03:27
EVT-0007863,ORG-0081,USR-00791,rocks,rock_completed,2025-08-03,2025-08-03 15:18:19
EVT-0003661,ORG-0033,USR-00383,rocks,rock_updated,2025-04-20,2025-04-20 12:56:53
EVT-0007734,ORG-0081,USR-00802,meetings,meeting_created,2024-10-26,2024-10-26 17:22:34
EVT-0013829,ORG-0164,USR-01577,scorecards,scorecard_updated,2025-01-08,2025-01-08 04:43:47
EVT-0012982,ORG-0152,USR-01460,issues,issue_created,2025-10-16,2025-10-16 09:19:25
EVT-0002315,ORG-0025,USR-00285,headlines,headline_created,2024-12-20,2024-12-20 17:49:19
EVT-0016603,ORG-0055,USR-00595,meetings,meeting_created,2025-12-06,2025-12-06 23:01:35
EVT-0006936,ORG-0070,USR-00696,scorecards,scorecard_updated,2025-10-15,2025-10-15 09:17:32
EVT-0011739,ORG-0138,USR-01309,scorecards,scorecard_score_entered,2024-05-19,2024-05-19 08:52:12
EVT-0012900,ORG-0151,USR-01455,rocks,rock_updated,2026-02-17,2026-02-17 12:27:23
EVT-0015227,ORG-0186,USR-01816,rocks,rock_updated,2025-06-29,2025-06-29 16:57:18
EVT-0008643,ORG-0092,USR-00869,issues,issue_resolved,2025-01-11,2025-01-11 12:59:08
EVT-0015672,ORG-0192,USR-01857,headlines,headline_created,2024-09-27,2024-09-27 15:51:41
EVT-0013337,ORG-0158,USR-01523,scorecards,scorecard_score_entered,2025-04-18,2025-04-18 05:02:29
EVT-0006158,ORG-0062,USR-00647,scorecards,scorecard_score_entered,2025-01-24,2025-01-24 08:43:24
EVT-0008457,ORG-0091,USR-00849,issues,issue_created,2025-05-28,2025-05-28 12:56:43
EVT-0003448,ORG-0033,USR-00377,meetings,meeting_completed,2024-01-28,2024-01-28 14:44:20
EVT-0013425,ORG-0158,USR-01514,scorecards,scorecard_score_entered,2026-01-17,2026-01-17 14:04:21
EVT-0000218,ORG-0002,USR-00028,headlines,headline_created,2024-10-07,2024-10-07 07:02:23
EVT-0010074,ORG-0107,USR-01054,meetings,meeting_created,2025-08-05,2025-08-05 12:47:33
EVT-0016477,ORG-0200,USR-01969,issues,issue_created,2026-02-09,2026-02-09 03:36:07
EVT-0000723,ORG-0006,USR-00066,issues,issue_created,2024-07-12,2024-07-12 14:02:09
EVT-0015615,ORG-0191,USR-01842,rocks,rock_completed,2025-05-27,2025-05-27 08:21:27
EVT-0002590,ORG-0028,USR-00299,rocks,rock_created,2025-08-13,2025-08-13 09:49:03
EVT-0002477,ORG-0027,USR-00293,headlines,headline_created,2025-06-02,2025-06-02 10:25:22
EVT-0014909,ORG-0180,USR-01752,rocks,rock_updated,2025-12-06,2025-12-06 12:54:30
EVT-0000231,ORG-0002,USR-00033,headlines,headline_created,2024-11-24,2024-11-24 10:44:27
EVT-0013103,ORG-0155,USR-01481,rocks,rock_updated,2025-06-18,2025-06-18 10:34:18
EVT-0006328,ORG-0062,USR-00638,headlines,headline_created,2026-01-31,2026-01-31 17:36:23
EVT-0015181,ORG-0184,USR-01805,headlines,headline_created,2025-11-17,2025-11-17 08:49:02
EVT-0010224,ORG-0111,USR-01076,issues,issue_resolved,2026-02-14,2026-02-14 15:16:06
EVT-0002467,ORG-0027,USR-00295,headlines,headline_created,2025-02-07,2025-02-07 12:31:13
EVT-0012455,ORG-0144,USR-01369,meetings,meeting_created,2024-06-12,2024-06-12 00:20:50
EVT-0000550,ORG-0005,USR-00052,headlines,headline_created,2024-07-30,2024-07-30 17:40:30
EVT-0003392,ORG-0033,USR-00373,rocks,rock_completed,2023-12-14,2023-12-14 15:23:07
EVT-0003621,ORG-0033,USR-00370,rocks,rock_updated,2025-01-17,2025-01-17 12:45:28
EVT-0000145,ORG-0002,USR-00029,todos,todo_completed,2023-12-06,2023-12-06 08:17:12
EVT-0005056,ORG-0050,USR-00543,issues,issue_resolved,2026-02-03,2026-02-03 08:27:25
EVT-0000144,ORG-0002,USR-00033,todos,todo_created,2023-12-06,2023-12-06 16:39:11
EVT-0012333,ORG-0142,USR-01356,headlines,headline_created,2025-11-06,2025-11-06 06:42:59
EVT-0012668,ORG-0148,USR-01434,headlines,headline_created,2025-09-02,2025-09-02 21:52:07
EVT-0000367,ORG-0003,USR-00037,rocks,rock_created,2026-02-06,2026-02-06 17:57:23
EVT-0006163,ORG-0062,USR-00640,scorecards,scorecard_updated,2025-01-06,2025-01-06 10:27:46
EVT-0003387,ORG-0033,USR-00369,rocks,rock_created,2023-11-02,2023-11-02 13:48:08
EVT-0012842,ORG-0150,USR-01452,issues,issue_created,2025-05-08,2025-05-08 17:19:08
EVT-0010652,ORG-0115,USR-01121,meetings,meeting_completed,2026-01-02,2026-01-02 11:13:00
EVT-0005161,ORG-0052,USR-00562,todos,todo_created,2025-10-21,2025-10-21 16:53:48
EVT-0013950,ORG-0167,USR-01594,todos,todo_completed,2024-12-22,2024-12-22 17:04:35
EVT-0016542,ORG-0039,USR-00421,scorecards,scorecard_score_entered,2025-08-31,2025-08-31 14:26:47
EVT-0002138,ORG-0024,USR-00265,rocks,rock_updated,2025-02-08,2025-02-08 15:24:39
EVT-0014091,ORG-0168,USR-01612,meetings,meeting_created,2025-12-06,2025-12-06 09:14:04
EVT-0011111,ORG-0122,USR-01198,issues,issue_created,2024-09-21,2024-09-21 10:30:14
EVT-0005538,ORG-0054,USR-00588,scorecards,scorecard_score_entered,2025-01-05,2025-01-05 04:04:10
EVT-0011264,ORG-0127,USR-01215,headlines,headline_created,2025-10-29,2025-10-29 08:38:38
EVT-0005370,ORG-0053,USR-00580,headlines,headline_created,2025-01-14,2025-01-14 14:20:10
EVT-0008201,ORG-0087,USR-00822,rocks,rock_created,2025-08-18,2025-08-18 16:30:40
EVT-0012716,ORG-0149,USR-01442,scorecards,scorecard_updated,2024-07-10,2024-07-10 15:45:49
